,Name of reporting district,ALL_MATH_GRADE00_0809,ALL_MATH_GRADE00_0910,ALL_MATH_GRADE00_1011,ALL_MATH_GRADE00_1112,ALL_READING_GRADE00_0809,ALL_READING_GRADE00_0910,ALL_READING_GRADE00_1011,ALL_READING_GRADE00_1112,State_x,Total students _x,Total revenues_x,Federal revenues_x,State revenues_x,Local revenues_x,Current expenditures  _x,Instructional-related current expenditures_x,"Current 
expenditures
per pupil_x",Total expenditures_x,"Total
expenditures
per pupil_x",Year_x,State_y,Total students _y,Total revenues_y,Federal revenues_y,State revenues_y,Local revenues_y,Current expenditures  _y,Instructional-related current expenditures_y,"Current 
expenditures
per pupil_y",Total expenditures_y,"Total
expenditures
per pupil_y",Year_y,State_x,Total students _x,Total revenues_x,Federal revenues_x,State revenues_x,Local revenues_x,Current expenditures  _x,Instructional-related current expenditures_x,"Current 
expenditures
per pupil_x",Total expenditures_x,"Total
expenditures
per pupil_x",Year_x,State_y,Total students _y,Total revenues_y,Federal revenues_y,State revenues_y,Local revenues_y,Current expenditures  _y,Instructional-related current expenditures_y,"Current 
expenditures
per pupil_y",Total expenditures_y,"Total
expenditures
per pupil_y",Year_y
0,anchorage school district,70,73,70,71,81,83,79,81,Alaska,48857,650738,61866,394410,194462,611450,390547,12515.095073377408,693415,14192.746,2008,Alaska,48837,649717,65775,384905,199037,639428,391199,13093.106,737118,15093.433,2009, Alaska ,49592,686143,89922,383161,213060,665336,409171,13416.19,755014,15224.512,2010, Alaska ,49206,732488,114561,407204,210723,710465,448605,14438.58,768723,15622.546,2011
1,lee county school district,43,50,47,46,35,45,44,48,Florida,80541,980391,67054,220143,693194,701153,440066,8705.54127711352,945972,11745.223,2008,Florida,79434,858184,71100,160653,626431,717883,466146,9037.4777,896303,11283.619,2009, Florida ,80484,821989,116122,162118,543749,707452,457428,8789.97,836303,10390.922,2010, Florida ,81967,827211,142228,193442,491541,736718,479548,8987.982,824431,10058.084,2011
2,lee county school district,43,50,47,46,47,50,54,55,Florida,80541,980391,67054,220143,693194,701153,440066,8705.54127711352,945972,11745.223,2008,Florida,79434,858184,71100,160653,626431,717883,466146,9037.4777,896303,11283.619,2009, Florida ,80484,821989,116122,162118,543749,707452,457428,8789.97,836303,10390.922,2010, Florida ,81967,827211,142228,193442,491541,736718,479548,8987.982,824431,10058.084,2011
3,lee county school district,56,64,65,65,35,45,44,48,Florida,80541,980391,67054,220143,693194,701153,440066,8705.54127711352,945972,11745.223,2008,Florida,79434,858184,71100,160653,626431,717883,466146,9037.4777,896303,11283.619,2009, Florida ,80484,821989,116122,162118,543749,707452,457428,8789.97,836303,10390.922,2010, Florida ,81967,827211,142228,193442,491541,736718,479548,8987.982,824431,10058.084,2011
4,lee county school district,56,64,65,65,47,50,54,55,Florida,80541,980391,67054,220143,693194,701153,440066,8705.54127711352,945972,11745.223,2008,Florida,79434,858184,71100,160653,626431,717883,466146,9037.4777,896303,11283.619,2009, Florida ,80484,821989,116122,162118,543749,707452,457428,8789.97,836303,10390.922,2010, Florida ,81967,827211,142228,193442,491541,736718,479548,8987.982,824431,10058.084,2011
5,atlanta public schools,73,69,73,67,88,86,87,89,Georgia,49991,869896,88718,162938,618240,675668,380854,13515.792842711688,772858,15459.943,2008,Georgia,49032,857196,85634,130095,641467,681465,380520,13898.372,893033,18213.269,2009, Georgia ,48909,828061,102638,111723,613700,735714,407157,15042.5,940700,19233.679,2010, Georgia ,49796,757348,103765,135631,517952,721187,386625,14482.82,941537,18907.884,2011
6,clark county school district,62,64,67,70,63,66,60,61,Nevada,309051,3111868,196022,852790,2063056,2486063,1599505,8044.183646064889,3664948,11858.716,2008,Nevada,312761,3179037,286412,869809,2022816,2539486,1651498,8119.5737,3290531,10520.912,2009, Nevada ,307059,3037823,245314,872480,1920029,2536794,1648002,8261.584,3053058,9942.9035,2010, Nevada ,314059,2927746,311131,882243,1734372,2597220,1692261,8269.847,3022858,9625.1278,2011
7,washoe county school district,67,70,74,77,67,71,66,67,Nevada,65663,618949,45021,208833,365095,537291,344900,8182.553340541857,612202,9323.3937,2008,Nevada,65421,647707,71010,227903,348794,552403,356408,8443.8177,671301,10261.246,2009, Nevada ,64838,627168,63239,232018,331911,555778,347622,8571.794,636667,9819.3498,2010, Nevada ,64380,618416,71782,220100,326534,546408,340718,8487.232,620301,9634.9953,2011
8,charlotte-mecklenburg schools,79,82,82,83,68,70,71,73,North Carolina,130979,1345133,105771,690492,548870,1062880,682134,8114.88864627154,1341285,10240.458,2008,North Carolina,135064,1699290,113623,721807,863860,1173350,783024,8687.363,1620152,11995.439,2009, North Carolina ,136969,2297008,169887,644107,1483014,1135686,756425,8291.555,1529792,11168.892,2010, North Carolina ,135954,1378746,179719,648832,550195,1094447,712880,8050.127,1329879,9781.8306,2011
9,wake county schools,84,84,85,87,74,75,76,79,North Carolina,133649,1264960,68546,691684,504730,1030073,695737,7707.300466146398,1447518,10830.743,2008,North Carolina,138443,1945241,77473,728334,1139434,1136475,776622,8208.9741,1596629,11532.754,2009, North Carolina ,140558,2061643,122009,664034,1275600,1086117,738957,7727.18,1371674,9758.7757,2010, North Carolina ,144173,1183308,145597,678165,359546,1112138,760867,7713.913,1336964,9273.3313,2011
10,dekalb county school district,92,34,41,45,92,48,53,53,Georgia,100273,1245461,83281,448301,713879,1059607,715201,10567.221485345008,1167205,11640.272,2008,Georgia,99775,1168643,112405,372248,683990,1025744,690498,10280.571,1154644,11572.478,2009, Georgia ,99406,1159197,164684,344000,650513,995308,671794,10012.55,1155932,11628.393,2010, Georgia ,98115,1126337,136572,375688,614077,983958,655028,10028.61,1114201,11356.072,2011
11,knox county school district,88,42,47,52,93,56,57,59,Tennessee,54490,487605,43208,147872,296525,429304,299791,7878.583226280051,489458,8982.5289,2008,Tennessee,55535,465157,43940,154965,266252,440078,304175,7924.336,477584,8599.6939,2009, Tennessee ,56758,492878,57781,156058,279039,447230,314004,7879.594,482674,8504.0699,2010, Tennessee ,57977,480087,58015,159097,262975,440035,302661,7589.82,477726,8239.9227,2011
12,polk county school district,86,20,33,43,91,42,46,46,Florida,93980,1250657,82891,611812,555954,1017453,758602,10826.271547137689,1198317,12750.766,2008,Florida,94657,915097,97511,442858,374728,815185,562793,8611.9885,972166,10270.408,2009, Florida ,94530,914627,159860,426979,327788,819576,561751,8670.009,942145,9966.6244,2010, Florida ,95178,936340,182192,450251,303897,858648,595277,9021.496,996655,10471.485,2011
13,shelby county school district,94,43,49,58,96,57,58,63,Tennessee,46918,367604,20894,167253,179457,345192,245592,7357.346860479986,409334,8724.4554,2008,Tennessee,47448,380894,24776,173150,182968,360552,253013,7598.8872,405328,8542.5729,2009, Tennessee ,48211,389616,31716,177185,180715,372316,260907,7722.635,412185,8549.6049,2010, Tennessee ,47706,398743,35054,180615,183074,377698,262062,7917.201,446059,9350.1656,2011
